Instance,Dim,k,Time,Collisions,Expansions,Cost
Instance,Dim,k,Time,Collisions,Expansions,Cost
1,10x10,4,0.0000,0,280,9
2,10x10,4,0.0000,0,620,8
3,10x10,4,0.0000,0,232,5
4,10x10,4,0.0000,0,248,7
5,10x10,4,1.0000,0,355,8
6,10x10,4,0.0000,0,499,8
7,10x10,4,0.0000,1,268,5
8,10x10,4,0.0000,0,111,5
9,10x10,4,0.0000,1,4346,8
10,10x10,4,2.0000,1,1007433,10
11,10x10,4,0.0000,0,111,9
12,10x10,4,0.0000,1,370,4
13,10x10,4,0.0000,0,485,9
14,10x10,4,0.0000,1,561,6
15,10x10,4,0.0000,0,698,9
16,10x10,4,0.0000,0,302,7
17,10x10,4,0.0000,0,217,6
18,10x10,4,1.0000,0,234,12
19,10x10,4,0.0000,0,327,8
20,10x10,4,0.0000,1,881,11
21,10x10,4,0.0000,1,543,8
22,10x10,4,0.0000,0,515,8
23,10x10,4,0.0000,1,597,7
24,10x10,4,0.0000,0,223,5
25,10x10,4,0.0000,0,199,5
26,10x10,4,0.0000,1,677,8
27,10x10,4,0.0000,0,501,9
28,10x10,4,0.0000,0,65,3
29,10x10,4,0.0000,1,1909,7
30,10x10,4,0.0000,0,310,7
31,10x10,4,0.0000,0,215,8
32,10x10,4,0.0000,0,490,7
33,10x10,4,0.0000,0,310,7
34,10x10,4,0.0000,0,270,8
35,10x10,4,0.0000,0,561,8
36,10x10,4,0.0000,0,331,8
37,10x10,4,0.0000,1,641,8
38,10x10,4,0.0000,1,644,7
39,10x10,4,0.0000,1,369,8
40,10x10,4,0.0000,0,449,8
41,10x10,4,0.0000,0,494,9
42,10x10,4,1.0000,0,296,6
43,10x10,4,0.0000,0,470,8
44,10x10,4,0.0000,1,731,9
45,10x10,4,0.0000,0,207,7
46,10x10,4,0.0000,1,714,9
47,10x10,4,0.0000,0,383,9
48,10x10,4,0.0000,0,450,10

Instance,Dim,k,Time,Collisions,Expansions,Cost
1,10x10,4,0.000,0,280,9
2,10x10,4,1.000,0,620,8
3,10x10,4,0.000,0,232,5
4,10x10,4,0.000,0,248,7
5,10x10,4,0.000,0,355,8
6,10x10,4,0.000,0,499,8
7,10x10,4,0.000,1,353,5
8,10x10,4,0.000,0,111,5
9,10x10,4,0.000,1,4346,8
10,10x10,4,2.000,1,1007433,10
11,10x10,4,0.000,0,111,9
12,10x10,4,0.000,1,822,4
13,10x10,4,0.000,0,485,9
14,10x10,4,4.000,1,1765788,6
15,10x10,4,1.000,0,698,9
16,10x10,4,0.000,0,302,7
17,10x10,4,0.000,0,217,6
18,10x10,4,0.000,0,234,12
